value,confidence,x1,y1,x2,y2,tile_id,word_idx
IG,0.9987301230430603,0.10416666666666667,0.19917805989583334,0.10728624131944445,0.2044677734375,1,156
EDGES,0.9987188577651978,0.1156955295138889,0.1678466796875,0.12586805555555555,0.17252604166666666,11,157
2.,0.9986949563026428,0.044352213541666664,0.0628662109375,0.048149956597222224,0.06876627604166667,0,158
DRAWING,0.9986879229545593,0.15516493055555555,0.04638671875,0.16886393229166666,0.050862630208333336,1,159
ALL,0.9986810088157654,0.06551106770833333,0.06327311197916667,0.07147894965277778,0.068359375,0,160
1,0.9986672401428223,0.4665798611111111,0.4347737630208333,0.4673936631944444,0.4361979166666667,24,161
TENDONS,0.9986571073532104,0.7173665364583334,0.7914225260416666,0.732421875,0.7965087890625,46,162
COLUMN,0.9986334443092346,0.05262586805555555,0.09012858072916667,0.06591796875,0.09521484375,0,163
EOR,0.9986265897750854,0.08260091145833333,0.1287841796875,0.08924696180555555,0.13427734375,0,164
PLACING,0.9985987544059753,0.07080078125,0.10498046875,0.0839572482638889,0.10945638020833333,0,165
AND,0.9985886216163635,0.12030707465277778,0.10477701822916667,0.126953125,0.10965983072916667,1,166
PERPE,0.9985635876655579,0.128173828125,0.167236328125,0.1388888888888889,0.17313639322916666,10,167
ERMIT,0.9984815716743469,0.9375,0.6441243489583334,0.9471842447916666,0.6494140625,39,168
BE,0.9984727501869202,0.18324110243055555,0.08992513020833333,0.18758138020833334,0.09541829427083333,1,169
SPECIAL,0.9984238147735596,0.08829752604166667,0.0537109375,0.101318359375,0.058186848958333336,0,170
/,0.9983693957328796,0.7444932725694444,0.10721842447916667,0.7477484809027778,0.11454264322916667,7,171
1.75,0.9983429908752441,0.4641384548611111,0.7289632161458334,0.4717339409722222,0.7346598307291666,44,172
NOT,0.9983377456665039,0.13142903645833334,0.18452962239583334,0.13834635416666666,0.19022623697916666,10,173
BE,0.9982917904853821,0.16099717881944445,0.19185384114583334,0.16560872395833334,0.19734700520833334,1,174
ETC.,0.9982485771179199,0.17347547743055555,0.14363606770833334,0.18025716145833334,0.14851888020833334,1,175
B,0.9982417821884155,0.2596028645833333,0.2852376302083333,0.2640787760416667,0.2945963541666667,12,176
BU,0.9982391595840454,0.135498046875,0.1287841796875,0.1388888888888889,0.13448079427083334,0,177
(,0.9982315897941589,0.1376681857638889,0.16072591145833334,0.1388888888888889,0.16459147135416666,10,178
BANDED,0.998230516910553,0.6301540798611112,0.784912109375,0.6429036458333334,0.7899983723958334,55,179
SLAB,0.9981532692909241,0.08246527777777778,0.0311279296875,0.0930447048611111,0.037027994791666664,0,180
1.75,0.9981445074081421,0.7029893663194444,0.760498046875,0.7103135850694444,0.7661946614583334,46,181
BE,0.9980849027633667,0.09955512152777778,0.23335774739583334,0.10416666666666667,0.2386474609375,10,182
1,0.9980366826057434,0.4090711805555556,0.618896484375,0.4104275173611111,0.6207275390625,33,183
